Provinsi,Tahun,Jumlah_Air_Bersih,Kapasitas_Produksi_Potensial_Perusahaan_Air_Bersih,Kapasitas_Produksi_Efektif,Efektifitas_Produksi_Air_Bersih_Perusahaan_Air_Bersih,Jumlah_Pekerja_Perusahaan_Air_Bersih,Jumlah_Pekerja_Teknis_Perusahaan_Air_Bersih_Yang_Berpendidikan_Tingkat_SLTA,Jumlah_Pekerja_Teknis_Perusahaan_Air_Bersih_Yang_Berpendidikan_Diatas_SLTA,Jumlah_Pekerja_Non_Teknis_Perusahaan_Air_Bersih,Jumlah_Pekerja_Non_Teknis_Perusahaan_Air_Bersih_Yang_Berpendidikan_Sampai_Dengan_Tingkat_SLTA,Jumlah_Pekerja_Non_Teknis_Perusahaan_Air_Bersih_Yang_Berpendidikan_Diatas_Tingkat_SLTA,Balas_Jasa_Karyawan_Perusahaan_Air_Bersih,Biaya_Bahan_Bakar_dan_Pelumas_yang_Digunakan_Perusahaan_Air_Bersih,Biaya_Listrik_Perusahaan_Air_Bersih,Biaya_Bahan-Bahan_Kimia_Perusahaan_Air_Bersih,Biaya_Penggunaan_Alat_Tulis_dan_Keperluan_Kantor_Perusahaan_Air_Bersih,Biaya_Penggunaan_Suku_Cadang_dan_Pemeliharaan_Kecil_Barang_Modal_Perusahaan_Air_Bersih,Biaya_Sewa_Bangunan_Mesin_Alat-alat_dan_Kendaraan_Perusahaan_Air_Bersih,Biaya_Jasa_jasa_Pengeluaran_Lainnya_Perusahaan_Air_Bersih,Biaya_Operasional_Perusahaan_Air_Bersih ,Jumlah_Pelanggan_Perusahaan_Air_Bersih ,Jumlah_Pelanggan_Kelompok_Sosial_Perusahaan_Air_Bersih,Jumlah_Pelanggan_Kelompok_Non_Niaga_Perusahaan_Air_Bersih ,Jumlah_Pelanggan_Kelompok_Niaga_dan_Industri_Perusahaan_Air_Bersih,Jumlah_Pelanggan_Kelompok_Khusus_dan_Pelanggan_Lainnya,Volume_Air_Bersih_yang_Disalurkan_Perusahaan_Air_Bersih,Volume_Air_Bersih_Yang_Disalurkan_Kepada_Kelompok_Sosial,Volume_Air_Bersih_Yang_Disalurkan_Kepada_Kelompok_Non_Niaga_Perusahaan_Air_Bersih,Volume_Air_Bersih_Yang_Disalurkan_Kepada_Kelompok_Niaga_dan_Industri_Perusahaan_Air_Bersih,Volume_Air_Bersih_Yang_Disalurkan_ke_Pelanggan_Khusus_dan_Pelanggan_Lainnya_Perusahaan_Air_Bersih,"Nilai_Air_Bersih_Yang_Disalurkan_Perusahaan_Air_Bersih                                               
",Nilai_Air_Bersih_Yang_Disalurkan_Kepada_Kelompok_Sosial ,Nilai_Air_Bersih_Yang_Disalurkan_Kepada_Kelompok_Non_Niaga ,Nilai_Air_Bersih_Yang_Disalurkan_Kepada_Kelompok_Niaga_dan_Industri ,Nilai_Air_Bersih_yang_Disalurkan_ke_Pelanggan_Khusus_dan_Pelangan_Lainnya ,Nilai_Pendapatan_dari_Kegiatan_Lain_Perusahaan_Air_Bersih 
Nusa Tenggara Barat,2020,8,4.532,3.190,"70,39",1.258,426,112,720,476,244,82.827,1.861,"6,381","5,981","1,009",789,"3,587","14,964","17,746","527,54","12,302","502,517","11,757",964,"80,591","1,982","49,408","2,489",401,"209,902","4,921","180,776","20,62","3,585",25.897
Nusa Tenggara Timur,2020,16,4.553,2.362,"51,88",1.150,634,95,421,287,134,79.227,2.763,"14,779",536,881,"1,694",518,"4,933","21,635","163,514","1,748","155,731","5,812",223,"34,586",777,"29,892","1,831",333,"137,057","2,36","117,679","12,659","4,359",30.252
Kalimantan Barat,2020,28,4.585,3.814,"83,18",967,377,110,480,283,197,99.253,3.553,"47,779","18,372","1,372","2,384","1,99","10,948","40,112","269,744","3,272","240,165","25,705",602,"76,056","1,89","56,774","8,251",303,"315,386","4,224","250,552","59,007","1,603",40.161
Kalimantan Tengah,2020,14,2.996,2.123,"70,86",1.156,465,106,585,363,222,80.718,3.748,"23,803","19,438",991,"1,637",28,"5,277","25,904","153,419","1,805","141,982","9,264",368,"42,652",805,"31,874","2,599",109,"174,938","2,749","153,312","18,425",452,14.497
Kalimantan Selatan,2020,12,7.698,5.772,"74,98",1.582,618,325,639,346,293,206.358,3.394,"73,538","39,106","1,447","7,966","2,282","24,233","146,637","484,336","8,044","438,541","35,7","2,051","113,124","3,428","89,375","11,44",4.627,"680,195","10,007","543,193","110,817","16,178",92.590
Kalimantan Timur,2020,9,8.837,7.757,"87,78",2.342,954,295,1.093,745,348,267.833,10.154,"141,521","97,236","4,939","9,006","9,456","47,83","156,515","499,13","6,039","459,126","32,489","1,476","199,261","3,621","128,529","18,131",701,"951,766","11,416","766,287","166,786","7,278",107.859
Kalimantan Utara,2020,5,1.784,1.108,"62,11",381,154,40,187,119,68,45.237,1.844,"15,13","9,795",419,"3,755",193,"7,748","13,588","76,581",622,"66,28","9,657",22,"24,251",362,"17,439","3,378",71,"110,808","1,189","79,405","28,727","1,487",10.972
Sulawesi Utara,2020,14,3.707,2.254,"60,80",960,365,53,542,383,159,50.380,3.177,"11,66","4,821","1,294",896,206,"6,165","17,841","110,848","1,811","103,795","5,121",121,"29,76",693,"15,627","2,068",258,"111,573","2,938","85,131","19,449","4,055",5.029
Sulawesi Tengah,2020,12,3.575,1.808,"50,57",757,406,84,267,169,98,29.671,843,"4,154",440,647,117,37,"1,285","3,346","100,566","1,096","93,809","5,641",20,"23,269",265,"18,196","1,964",10,"47,159",406,"40,983","5,673",96,3.380
Sulawesi Selatan,2020,24,9.409,7.215,"76,68",3.423,1.333,591,1.499,709,790,247.875,4.579,"44,562","16,858","2,229","6,656","2,096","15,49","150,523","517,722","6,435","480,139","30,766",382,"146,838","4,023","110,711","10,352",2.354,"588,89","7,19","455,837","103,593","22,27",88.675
Sulawesi Tenggara,2020,11,1.992,1.334,"66,97",1.101,491,114,496,297,199,45.353,1.917,"10,272","2,011",785,"1,101",90,"6,901","16,979","98,484","1,02","93,937","2,188","1,339","15,439",218,"10,906",724,361,"75,642",867,"63,727","9,48","1,569",10.232
Gorontalo,2020,6,1.361,1.047,"76,93",674,262,26,386,265,121,35.141,537,"10,284","4,826",586,"1,065",242,558,"7,291","79,767","2,653","74,442","2,553",119,"21,923","1,29","14,495","1,32",30,"71,967","2,289","60,41","8,935",333,3.254
Sulawesi Barat,2020,5,870,507,"58,28",341,127,34,180,121,59,16.072,379,"3,42","2,683",213,335,64,"3,727","1,574","65,233","1,098","62,363","1,766",6,"9,465",359,"8,592",497,13,"35,815",730,"31,38","3,506",199,4.895
Maluku,2020,8,1.381,1.093,"79,15",514,257,22,235,165,70,21.277,2.172,"4,079",11,443,323,58,"1,138","9,566","59,513",637,"55,991","2,645",240,"9,618",156,"8,313",631,103,"53,093",727,"46,252","4,949","1,166",7.381
Maluku Utara,2020,8,1.627,1.488,"91,46",570,273,40,257,181,76,33.531,1.235,"24,166",548,368,654,530,557,"39,434","90,014","1,619","83,328","4,499",568,"28,191",783,"18,171","1,486",155,"92,439","2,255","82,962","6,758",464,6.699
Papua Barat,2020,5,509,326,"64,05",213,98,17,98,81,17,22.045,729,"2,086",283,92,507,59,840,"4,006","26,508",332,"24,7","1,357",119,"5,724",108,"4,297",495,123,"29,503",421,"21,589","5,891","1,602",8.930
Papua Barat Daya,2020,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
Papua,2020,7,1.776,1.405,"79,11",358,150,27,181,128,53,40.207,1.215,"4,847",269,858,759,719,"2,99","11,815","71,999","1,186","66,329","4,463",21,"20,698","1,105","15,49","1,574",115,"86,618","3,646","69,917","11,226","1,83",11.236
Papua Selatan,2020,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
Papua Tengah,2020,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
Papua Pegunungan,2020,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
Aceh,2021,19,4.441,3.332,"75,03",1.481,754,175,552,345,207,91.739,899,"27,288","11,558",976,"2,598",715,"3,499","28,375","218,367","2,257","194,382","20,907",821,"54,456","1,262","38,055","3,221",964,"155,402","3,198","130,379","17,588","4,237",20.044
Sumatera Utara,2021,41,14.336,12.854,"89,66",3.922,999,508,2.415,1.476,939,287.801,2.876,"129,714","39,216","17,916","8,319","1,632","23,703","129,296","902,348","10,13","813,64","77,731",847,"321,041","11,114","263,195","31,91",845,"952,824","11,611","774,272","160,785","6,157",80.129
Sumatera Barat,2021,18,6.960,5.437,"78,12",1.612,669,235,708,407,301,116.716,4.757,"13,942","9,865","1,949","2,855","4,839","5,841","78,485","601,629","4,783","575,531","19,45","1,865","105,405","2,623","90,431","6,852","1,348","367,149","4,73","307,932","48,655","5,831",45.243
Riau,2021,26,2.512,1.576,"62,74",1.078,543,81,454,249,205,39.655,10.238,"8,547","16,827",397,524,111,"4,069","11,906","89,508",980,"77,35","11,047",131,"18,547",433,"14,844","3,193",77,"88,4","1,149","67,337","19,621",293,17.838
Jambi,2021,11,4.855,3.111,"64,08",1.263,468,153,642,451,191,82.653,1.287,"48,264","14,141","1,075","1,787",338,"3,892","10,868","974,113","6,896","949,529","17,525",163,"49,333","1,046","37,864","4,265",518,"203,887","3,291","164,862","30,787","4,947",37.504
Sumatera Selatan,2021,18,10.193,8.735,"85,70",2.620,1.006,453,1.161,711,450,219.897,2.288,"52,434","35,704","6,501","2,049",827,"12,282","49,823","889,4","14,13","815,881","56,811","2,578","197,289","3,228","140,927","19,805",192,"675,702","6,475","515,105","151,85","2,272",64.779
Bengkulu,2021,9,1.779,1.468,"82,52",599,271,38,290,198,92,35.640,895,"11,814","3,201",532,443,209,"10,777","2,755","90,696","1,154","85,217","4,321",4,"24,848",458,"16,224","1,016",45,"78,735",890,"69,441","7,144","1,26",7.404
Lampung,2021,44,2.043,1.481,"72,49",656,247,30,379,260,119,33.187,983,"3,535","2,703",209,756,11,"12,888","28,698","85,97","1,279","79,548","4,697",446,"18,232",389,"14,26","1,571",857,"86,171","1,201","64,396","13,087","7,487",5.181
Kepulauan Bangka Belitung,2021,7,1.118,1.072,"95,89",325,112,37,176,105,71,21.741,568,"8,109","1,721",598,418,345,"1,934","6,353","33,007",380,"31,569","1,033",25,"8,211",105,"6,318",340,16,"41,515",467,"37,127","3,628",293,3.748
Kepulauan Riau,2021,14,5.042,4.468,"88,62",876,362,110,404,226,178,113.672,2.037,"76,23","25,582","1,391","4,084","9,959","21,92","43,442","333,392","2,814","283,945","46,613",20,"95,069","2,962","66,963","21,333",8,"542,306","6,222","302,454","233,551",80,77.085
DKI Jakarta,2021,8,22.260,21.118,"94,87",2.210,792,428,990,376,614,505.483,3.228,"177,405","39,004","3,246","4,787","17,093","185,771","616,635","918,369","6,762","781,13","130,466",11,"495,417","6,941","238,139","101,341","1,456",2.787.583,"10,322",1.586.839,1.171.216,"19,206",68.917
Jawa Barat,2021,22,24.570,17.777,"72,35",7.738,2.572,762,4.404,2.695,1.709,827.112,7.261,"123,388","107,57","20,102","11,812","6,022","51,451","450,813",2.005.845,"29,588",1.881.290,"93,197","1,77","413,526","9,649","302,344","28,119","11,976",2.288.922,"25,873",1.883.389,"319,644","60,015",198.960
Jawa Tengah,2021,42,33.405,26.713,"79,97",6.628,2.708,863,3.057,1.511,1.546,585.403,9.535,"115,031","50,203","16,354","14,947","12,795","126,34","334,881",1.867.464,"30,04",1.755.302,"73,586","8,536","511,207","14,511","381,269","26,087","4,277",1.856.522,"28,13",1.570.262,"238,401","19,73",273.287
D.I Yogyakarta,2021,6,2.840,2.176,"76,62",838,419,89,330,215,115,76.532,1.361,"48,3","7,115",806,"1,227","1,041","7,38","42,013","207,261","3,569","199,573","2,854","1,265","48,303",882,"34,106","1,576",474,"211,413","3,329","185,871","18,19","4,023",12.472
Jawa Timur,2021,38,31.543,27.266,"86,44",6.444,2.879,673,2.892,1.903,989,547.583,10.730,"340,138","59,795","4,732","6,785","12,819","83,199","572,897",2.377.295,"33,718",2.213.190,"119,64","10,747","737,083","16,423","469,407","68,659","24,513",2.238.433,"32,305",1.586.025,"537,892","82,212",244.025
Banten,2021,8,11.376,9.025,"79,33",1.365,407,179,779,415,364,163.351,1.683,"71,402","22,368","1,555","5,571","32,605","151,621","325,345","386,443","3,439","360,591","22,3",113,"236,878","1,617","78,18","49,263","105,272",1.241.868,"4,431","401,27","480,805","355,362",34.811
Bali,2021,20,9.343,7.798,"83,46",2.214,989,204,1.021,661,360,208.239,2.879,"107,913","23,493","2,501","5,311","1,891","22,217","118,906","487,796","8,933","431,976","46,15",737,"145,65","2,454","104,733","12,531","1,252","617,711","7,515","466,322","127,957","15,917",94.925
Nusa Tenggara Barat,2021,8,4.607,3.713,"80,59",1.172,385,114,673,459,214,83.370,1.565,"7,196","5,934",862,420,"1,969","17,057","16,947","531,505","13,233","504,736","12,505","1,031","83,671","1,874","49,608","2,216",828,"209,215","4,771","180,653","19,471","4,32",23.361
Nusa Tenggara Timur,2021,16,4.648,2.695,"57,98",1.205,625,116,464,287,177,78.736,2.560,"10,717",547,636,"1,428",488,"2,391","22,575","167,028","1,906","159,178","5,762",182,"34,016",852,"27,79","2,056",347,"145,657","2,458","121,777","15,205","6,218",25.999
Kalimantan Barat,2021,28,4.685,3.930,"83,88",1.002,383,149,470,273,197,91.103,3.520,"48,664","22,859",928,"2,744","3,634","11,461","41,917","270,449","3,332","239,654","26,827",636,"75,795","2,224","57,307","9,961",288,"326,972","4,946","247,643","72,929","1,454",41.123
Kalimantan Tengah,2021,14,3.131,2.252,"71,93",1.266,493,152,621,407,214,98.994,2.742,"27,597","20,633",641,"3,267",146,"3,035","26,756","162,745","1,821","147,895","10,766","2,263","45,902",769,"32,971","2,98",200,"187,136","3,049","161,577","21,773",737,10.563
Kalimantan Selatan,2021,12,7.938,6.149,"77,46",1.481,527,291,663,377,286,215.326,3.655,"77,49","38,26","1,439","8,278","4,41","30,342","125,55","502,409","8,822","454,81","36,253","2,524","115,242","3,576","90,596","11,546","4,791","675,821","11,257","536,233","112,139","16,192",55.108
Kalimantan Timur,2021,9,8.786,7.810,"88,89",2.380,960,273,1.147,775,372,280.843,9.983,"144,292","96,342","4,919","7,795","11,053","57,539","124,296","518,79","6,372","477,754","34,007",657,"200,771","3,9","127,893","18,807","1,116","962,707","12,13","768,219","168,514","13,845",93.765
Kalimantan Utara,2021,5,1.655,1.266,"76,50",398,147,53,198,122,76,48.122,1.401,"17,509","7,885",411,255,280,"6,524","10,701","84,784",689,"73,554","10,52",21,"28,384",413,"18,657","3,459",225,"126,461","1,452","89,428","32,703","2,878",10.048
Sulawesi Utara,2021,16,3.824,2.333,"61,01",1.249,460,73,716,511,205,58.240,1.941,"14,638","4,019","1,239",860,205,"2,427","13,896","110,067","1,555","103,385","4,736",391,"32,054",566,"15,646","1,925",350,"122,915","2,861","97,112","18,038","4,904",7.596
Sulawesi Tengah,2021,11,4.063,1.890,"46,52",719,381,73,265,150,115,24.639,656,"4,223",523,334,204,49,"1,191","4,123","106,696","1,246","99,854","5,548",48,"21,051",266,"18,626","1,591",35,"50,926",431,"44,471","5,752",272,4.877
Sulawesi Selatan,2021,24,9.503,7.533,"79,27",3.328,1.355,673,1.300,537,763,232.741,4.036,"45,207","18,092","2,162","2,443","3,685","16,491","160,94","544,457","5,968","504,287","32,466","1,736","149,5","3,822","114,13","11,331","1,579","598,174","7,126","468,385","108,336","14,327",54.314
Sulawesi Tenggara,2021,11,1.981,1.390,"70,17",1.048,470,137,441,242,199,49.784,1.384,"11,577","1,553",364,736,152,"3,883","17,899","101,23",979,"96,271","2,295","1,685","17,519",216,"11,016",734,356,"83,13",889,"70,301","9,827","2,113",7.093
Gorontalo,2021,6,1.405,1.097,"78,08",645,245,42,358,242,116,39.915,506,"8,318","4,819",312,513,119,869,"9,019","87,662","1,987","82,757","2,645",273,"20,553","1,04","12,628","1,236",181,"67,407","2,113","56,052","8,189","1,053",3.249
Sulawesi Barat,2021,5,959,523,"54,54",338,193,51,94,52,42,12.767,372,"3,133","2,649",315,272,69,"3,706","2,009","65,726","1,125","62,756","1,839",6,"9,292",373,"8,455",443,16,"33,73",644,"30,117","2,814",154,2.924
Maluku,2021,8,1.399,1.114,"79,63",493,216,39,238,171,67,23.694,2.953,"4,955",10,453,310,164,"1,421","9,837","59,78",686,"56,154","2,746",194,"10,034",162,"8,356",660,161,"53,96",755,"45,903","5,465","1,835",6.055
Maluku Utara,2021,8,1.745,1.669,"95,64",535,275,48,212,156,56,37.206,1.184,"20,011",401,513,422,97,905,"36,78","91,081","1,221","85,819","4,004",37,"25,824",611,"21,326","1,435",39,"87,89","1,962","78,421","7,168",340,5.288
Papua Barat,2021,5,506,313,"61,86",187,91,18,78,57,21,17.657,817,"1,27",250,185,589,71,712,"1,647","27,555",313,"25,623","1,49",129,"5,464",78,"3,849",472,309,"26,991",236,"17,926","5,194","3,635",5.116
Papua Barat Daya,2021,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
Papua,2021,7,1.878,898,"47,82",343,145,33,165,115,50,37.879,1.321,"4,692",262,862,"1,357",710,"2,628","11,305","72,221","1,168","66,464","4,479",110,"20,127",991,"15,163","1,274",162,"82,611","3,318","67,094","9,272","2,927",8.672
Papua Selatan,2021,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
Papua Tengah,2021,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
Papua Pegunungan,2021,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
Aceh,2022,19,4.394,3.591,"81,73",1.466,667,164,635,430,205,102.208,974,"30,164","11,558",931,"2,228",874,"3,874","28,711","231,301","2,553","205,433","22,741",574,"56,135","1,294","38,785","3,398","1,076","162,298","3,907","134,093","19,424","4,874",19.819
Sumatera Utara,2022,41,14.270,12.959,"90,81",3.824,1.144,542,2.138,1.223,915,278.632,2.889,"133,526","39,216","18,103","8,411","1,437","25,461","132,219","939,665","10,003","849,019","79,959",684,"331,779","12,265","262,993","32,03",789,"926,49","14,958","741,703","164,924","4,905",71.455
Sumatera Barat,2022,18,7.171,5.367,"74,84",1.633,579,219,835,427,408,116.154,4.980,"15,658","9,865","1,811","2,363","5,806","5,302","83,696","607,966","4,786","581,343","20,296","1,541","107,687","2,793","80,553","7,538","1,462","336,313","4,73","271,899","54,06","5,624",41.874
Riau,2022,26,2.583,1.584,"61,32",1.065,517,93,455,249,206,42.332,10.038,"8,761","16,827",390,494,240,"3,18","12,052","92,944",992,"80,512","11,309",131,"20,035",449,"15,757","3,707",72,"96,229","1,253","72,546","22,206",223,17.739
Jambi,2022,11,4.999,3.230,"64,61",1.312,492,133,687,487,200,92.439,1.379,"47,441","14,141","1,055","1,481",200,"3,162","10,257","960,149","6,442","934,949","18,602",156,"60,647","1,192","43,601","4,34",391,"238,651","3,616","197,47","33,021","4,544",42.005
Sumatera Selatan,2022,18,10.513,9.204,"87,55",2.630,903,472,1.255,772,483,206.734,2.312,"52,456","35,704","6,204","2,681",874,"11,89","50,513","876,978","13,9","801,943","58,466","2,669","196,25","2,85","136,657","20,118",178,"683,746","5,091","513,282","163,644","1,73",65.374
Bengkulu,2022,9,1.899,1.516,"79,83",618,244,47,327,230,97,37.846,1.060,"12,563","3,201",623,400,209,"10,274","3,395","92,78","1,174","87,039","4,563",4,"25,469",489,"16,983","1,086",45,"81,156",953,"71,296","7,544","1,363",9.157
Lampung,2022,44,1.892,1.444,"76,32",616,261,92,263,192,71,33.797,1.078,"3,827","2,703",219,827,19,"12,179","30,667","91,277","1,217","84,805","4,838",417,"19,188",400,"15,14","1,666",916,"93,885","1,255","70,842","13,553","8,234",5.737
Kepulauan Bangka Belitung,2022,7,1.118,1.069,"95,62",328,106,44,178,102,76,20.570,549,"8,143","1,721",615,485,340,"2,584","6,614","34,673",389,"33,062","1,19",32,"7,871",106,"6,523",362,14,"43,954",468,"39,412","3,887",187,3.281
Kepulauan Riau,2022,14,4.847,4.248,"87,64",890,347,113,430,240,190,114.613,1.870,"76,799","25,582","1,448","3,868","9,763","21,008","44,498","334,543","2,882","284,904","46,733",24,"95,179","3,046","67,483","21,491",10,"545,739","6,454","304,289","234,921",75,76.867
DKI Jakarta,2022,7,20.967,20.253,"96,59",2.067,746,426,895,327,568,472.960,3.024,"172,372","39,004","3,995","4,475","16,428","138,58","608,112","969,512","6,41","831,17","131,921",11,"507,981","6,591","266,29","97,489","1,456",2.950.367,"9,744",1.797.839,1.123.577,"19,206",69.004
Jawa Barat,2022,22,24.428,19.182,"78,52",7.675,2.468,761,4.446,2.740,1.706,825.085,7.224,"119,426","107,57","19,678","14,592","6,149","50,91","448,46",2.034.772,"28,239",1.907.467,"97,547","1,519","429,705","9,384","312,851","29,242","12,182",2.547.504,"27,504",2.101.353,"354,753","63,893",194.440
Jawa Tengah,2022,42,35.605,27.341,"76,79",6.826,2.601,1.013,3.212,1.656,1.556,593.381,10.475,"119,934","50,203","15,985","14,309","11,493","104,456","392,044",1.941.552,"31,105",1.823.505,"77,036","9,906","520,152","14,15","382,707","27,16","4,824",1.941.261,"29,863",1.631.587,"255,668","24,143",228.198
D.I Yogyakarta,2022,6,2.793,2.318,"82,99",869,389,77,403,268,135,79.080,1.575,"49,119","7,115","1,09","1,357","1,089","9,778","42,612","215,962","3,672","207,865","3,004","1,421","50,153",969,"35,971","1,699",573,"227,541","3,796","199,107","21,178","3,459",15.983
Jawa Timur,2022,38,31.495,27.330,"86,78",6.476,2.644,741,3.091,1.988,1.103,584.839,11.959,"350,957","59,795","5,058","8,135","10,916","92,31","599,538",2.422.452,"34,706",2.254.753,"122,549","10,444","742,968","16,706","472,585","72,297","19,577",2.318.402,"32,836",1.634.315,"567,729","83,522",244.367
Banten,2022,9,11.954,9.712,"81,24",1.439,371,158,910,504,406,188.643,1.859,"69,421","22,368","1,705","6,242","33,251","191,617","325,168","384,725","3,444","358,913","22,265",103,"247,608","1,636","86,459","49,242","105,269",1.339.461,"4,504","498,858","480,748","355,351",34.218
Bali,2022,20,9.254,7.990,"86,34",2.229,1.058,194,977,744,233,219.016,3.211,"111,989","23,493","2,519","6,838","2,003","35,233","121,356","488,13","8,779","433,196","45,556",599,"147,862","2,381","103,549","12,539","1,175","629,845","8,306","476,862","128,157","16,52",86.984
Nusa Tenggara Barat,2022,8,4.453,3.350,"75,23",1.267,482,194,591,400,191,93.677,1.531,"7,176","5,934",818,362,"2,084","17,637","16,807","553,75","10,483","529,01","13,243","1,014","81,898","1,749","54,289","2,432",740,"246,721","4,982","215,639","21,526","4,574",20.559
Nusa Tenggara Timur,2022,16,4.711,2.770,"58,80",1.172,625,92,455,290,165,78.238,2.728,"11,931",547,672,"1,28",236,"5,495","25,436","175,33","1,913","167,496","5,703",218,"36,763",890,"28,358","2,167",310,"154,599","2,686","130,31","15,399","6,204",26.761
Kalimantan Barat,2022,28,4.736,4.012,"84,71",1.012,372,121,519,570,255,97.166,3.577,"49,668","22,859",880,"1,947","3,589","8,785","43,276","284,275","3,54","252,327","27,702",706,"92,994","2,185","58,913","8,554",290,"342,82","5,075","271,384","64,577","1,785",41.052
Kalimantan Tengah,2022,14,3.075,2.183,"70,99",1.125,437,118,570,1.183,233,92.438,2.570,"24,437","20,633",708,"3,369",101,"3,586","24,905","167,861","1,831","152,808","11,02","2,202","47,79",806,"33,051","3,154",204,"190,281","3,173","163,64","22,786",682,11.894
Kalimantan Selatan,2022,12,7.750,6.190,"79,87",1.526,620,324,582,432,278,210.396,3.812,"79,656","38,26","1,678","8,226","5,174","30,097","146,443","519,319","9,18","467,564","40,442","2,133","128,755","3,634","92,781","12,339","5,09","751,991","11,915","599,329","121,38","19,367",56.997
Kalimantan Timur,2022,9,8.951,8.319,"92,94",2.279,985,340,954,247,320,279.725,10.772,"156,903","96,342","4,864","6,898","8,672","60,572","128,917","544,482","6,689","504,72","32,411",662,"211,566","3,467","135,757","18,406","1,167",1.045.336,"11,478","849,572","169,779","14,507",110.772
Kalimantan Utara,2022,5,1.655,1.212,"73,23",415,171,52,192,528,89,53.255,1.439,"17,751","7,885",423,"3,709",128,"7,566","11,214","92,096",730,"80,209","11,131",26,"34,615",460,"19,64","3,652",180,"145,779","1,68","106,965","34,856","2,279",10.715
Sulawesi Utara,2022,16,3.373,2.122,"62,91",1.091,535,119,437,712,104,59.575,1.927,"14,915","4,019","1,238",677,205,"2,344","16,807","111,56","1,618","104,135","5,382",425,"24,02",636,"16,338","2,253",357,"130,832","3,304","101,709","20,992","4,827",8.553
Sulawesi Tengah,2022,11,4.000,1.928,"48,20",677,365,38,274,186,134,23.465,614,"4,168",523,405,165,53,"1,489","4,028","109,783","1,17","102,549","6,012",52,"21,357",256,"18,443","1,721",30,"52,491",479,"45,548","6,194",270,4.855
Sulawesi Selatan,2022,24,9.769,7.815,"80,00",3.394,1.450,744,1.200,239,695,231.092,3.835,"45,341","18,092","2,553","3,622","3,855","18,612","161,056","546,366","6,053","505,558","33,167","1,588","149,108","4,047","115,589","11,495","1,544","614,356","7,941","482,197","111,434","12,784",66.372
Sulawesi Tenggara,2022,11,2.067,1.478,"71,50",1.036,443,128,465,102,207,48.150,1.401,"11,573","1,553",499,624,153,"3,961","17,841","101,721","1,008","97,036","2,012","1,665","16,885",234,"10,927",706,396,"82,193",996,"69,412","9,108","2,678",6.254
Gorontalo,2022,6,1.483,1.075,"72,49",648,200,23,425,217,128,40.945,517,"7,906","4,819",427,327,78,849,"8,323","88,867","2,094","83,742","2,76",271,"22,172","1,104","12,767","1,252",173,"70,233","2,342","58,45","8,475",966,3.120
Sulawesi Barat,2022,5,811,486,"59,93",347,193,57,97,327,44,12.588,350,"3,526","2,649",210,303,68,"3,706","2,01","69,385","1,136","66,252","1,991",6,"10,012",372,"8,555",497,16,"34,968",681,"30,784","3,323",180,2.441
Maluku,2022,8,1.540,1.186,"77,01",507,213,41,253,2.642,73,23.192,3.062,"5,188",10,453,272,517,"1,741","10,72","61,082",789,"57,298","2,799",196,"10,386",189,"8,264",642,205,"54,276",883,"45,933","5,506","1,954",5.584
Maluku Utara,2022,8,1.808,1.618,"89,49",572,246,44,282,1.558,68,37.834,1.188,"20,199",401,708,656,129,"1,659","36,915","93,577","1,179","88,13","4,242",26,"24,787",608,"21,709","1,412",37,"91,084","1,963","81,505","7,266",350,4.758
Papua Barat,2022,5,511,328,"64,19",187,97,15,75,208,23,16.559,886,"1,27",250,149,596,71,579,"1,6","27,839",357,"25,773","1,573",136,"5,08",81,"3,666",452,290,"25,971",241,"17,704","5,278","2,747",5.326
Papua Barat Daya,2022,–,–,–,–,–,–,–,–,1.922,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
Papua,2022,6,1.660,846,"50,96",340,155,35,150,314,47,35.852,1.405,"4,711",262,837,"1,335",889,"2,209","11,392","75,156","1,089","69,898","4,069",100,"19,637","1,082","14,554","1,338",144,"87,688","3,727","71,568","9,467","2,926",7.895
Papua Selatan,2022,–,–,–,–,–,–,–,–,772,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
