Provinsi,Tahun,Jumlah_Air_Bersih,Kapasitas_Produksi_Potensial_Perusahaan_Air_Bersih,Kapasitas_Produksi_Efektif,Efektifitas_Produksi_Air_Bersih_Perusahaan_Air_Bersih,Jumlah_Pekerja_Perusahaan_Air_Bersih,Jumlah_Pekerja_Teknis_Perusahaan_Air_Bersih_Yang_Berpendidikan_Tingkat_SLTA,Jumlah_Pekerja_Teknis_Perusahaan_Air_Bersih_Yang_Berpendidikan_Diatas_SLTA,Jumlah_Pekerja_Non_Teknis_Perusahaan_Air_Bersih,Jumlah_Pekerja_Non_Teknis_Perusahaan_Air_Bersih_Yang_Berpendidikan_Sampai_Dengan_Tingkat_SLTA,Jumlah_Pekerja_Non_Teknis_Perusahaan_Air_Bersih_Yang_Berpendidikan_Diatas_Tingkat_SLTA,Balas_Jasa_Karyawan_Perusahaan_Air_Bersih,Biaya_Bahan_Bakar_dan_Pelumas_yang_Digunakan_Perusahaan_Air_Bersih,Biaya_Listrik_Perusahaan_Air_Bersih,Biaya_Bahan-Bahan_Kimia_Perusahaan_Air_Bersih,Biaya_Penggunaan_Alat_Tulis_dan_Keperluan_Kantor_Perusahaan_Air_Bersih,Biaya_Penggunaan_Suku_Cadang_dan_Pemeliharaan_Kecil_Barang_Modal_Perusahaan_Air_Bersih,Biaya_Sewa_Bangunan_Mesin_Alat-alat_dan_Kendaraan_Perusahaan_Air_Bersih,Biaya_Jasa_jasa_Pengeluaran_Lainnya_Perusahaan_Air_Bersih,Biaya_Operasional_Perusahaan_Air_Bersih ,Jumlah_Pelanggan_Perusahaan_Air_Bersih ,Jumlah_Pelanggan_Kelompok_Sosial_Perusahaan_Air_Bersih,Jumlah_Pelanggan_Kelompok_Non_Niaga_Perusahaan_Air_Bersih ,Jumlah_Pelanggan_Kelompok_Niaga_dan_Industri_Perusahaan_Air_Bersih,Jumlah_Pelanggan_Kelompok_Khusus_dan_Pelanggan_Lainnya,Volume_Air_Bersih_yang_Disalurkan_Perusahaan_Air_Bersih,Volume_Air_Bersih_Yang_Disalurkan_Kepada_Kelompok_Sosial,Volume_Air_Bersih_Yang_Disalurkan_Kepada_Kelompok_Non_Niaga_Perusahaan_Air_Bersih,Volume_Air_Bersih_Yang_Disalurkan_Kepada_Kelompok_Niaga_dan_Industri_Perusahaan_Air_Bersih,Volume_Air_Bersih_Yang_Disalurkan_ke_Pelanggan_Khusus_dan_Pelanggan_Lainnya_Perusahaan_Air_Bersih,"Nilai_Air_Bersih_Yang_Disalurkan_Perusahaan_Air_Bersih                                               
",Nilai_Air_Bersih_Yang_Disalurkan_Kepada_Kelompok_Sosial ,Nilai_Air_Bersih_Yang_Disalurkan_Kepada_Kelompok_Non_Niaga ,Nilai_Air_Bersih_Yang_Disalurkan_Kepada_Kelompok_Niaga_dan_Industri ,Nilai_Air_Bersih_yang_Disalurkan_ke_Pelanggan_Khusus_dan_Pelangan_Lainnya ,Nilai_Pendapatan_dari_Kegiatan_Lain_Perusahaan_Air_Bersih 
Jawa Tengah,2019,42,31.019,25.119,"80,98",6.425,2.605,739,3.081,1.711,1.370,558.468,9.671,"103,528","48,755","19,621","14,23","9,814","156,784","365,684",1.765.894,"27,005",1.659.138,"70,722","9,029","451,564","12,547","342,072","24,013",7.802,1.638.674,"29,771",1.355.175,"192,386","61,341",351.449
D.I Yogyakarta,2019,6,2.607,2.206,"84,62",805,425,89,291,178,113,63.248,1.534,"45,26","5,498","1,324",912,872,"3,872","36,005","180,598","3,439","173,507","2,711",941,"41,421","1,141","32,017","1,699",398,"189,735","3,929","164,214","18,331","3,261",16.188
Jawa Timur,2019,38,30.467,26.720,"87,70",6.672,2.556,594,3.522,2.440,1.082,563.192,13.014,"328,256","57,752","5,993","10,508","9,484","78,771","404,022",2.132.347,"31,16",1.982.187,"113,728","5,272","731,229","18,155","446,505","71,48",15.013,2.084.035,"31,524",1.439.055,"550,183","63,273",325.229
Banten,2019,8,9.864,8.275,"83,89",1.279,329,185,765,360,405,167.476,1.325,"69,21","22,115","2,658","4,47","32,158","138,216","313,849","311,318","3,067","294,075","13,885",291,"225,86","1,906","62,482","46,788",114.497,1.171.980,"4,309","298,379","463,858","405,433",61.208
Bali,2019,20,9.854,8.782,"89,12",2.382,1.070,122,1.190,930,260,229.715,3.527,"114,849","26,631","3,161","5,165","1,457","10,448","169,268","470,621","8,816","415,497","45,942",366,"152,415","3,354","93,809","19,329",1.756,"697,634","9,678","449,123","211,8","27,033",95.213
Nusa Tenggara Barat,2019,8,3.918,3.050,"77,85",1.218,530,106,582,404,178,79.966,1.615,"7,23","4,959",810,"1,319","2,983","11,033","17,965","547,391","12,232","522,764","11,645",750,"82,44","2,108","53,671","2,511",525,"195,335","4,81","167,784","19,352","3,389",29.454
Nusa Tenggara Timur,2019,16,3.862,1.780,"46,09",1.136,617,97,422,300,122,83.272,2.862,"13,87",450,946,"1,93",257,"3,02","20,672","154,992","1,692","147,537","5,561",202,"34,586",771,"26,439","1,889",281,"134,23","2,508","114,665","12,695","4,362",23.729
Kalimantan Barat,2019,28,4.642,3.471,"74,77",1.027,386,159,482,328,154,94.204,3.617,"40,017","16,813","1,093","3,232","1,268","10,816","29,964","241,233","2,789","213,579","24,244",621,"66,686","2,066","52,724","8,854",508,"274,265","4,203","207,826","60,707","1,529",35.807
Kalimantan Tengah,2019,14,2.560,1.948,"76,09",1.079,480,93,506,328,178,80.029,5.027,"21,199","14,608",860,"2,359",104,"3,547","35,618","150,819","1,764","139,306","9,245",504,"39,983",918,"30,255","2,635",215,"165,648","3,237","142,544","18,848","1,02",14.987
Kalimantan Selatan,2019,12,7.497,5.343,"71,27",1.594,598,311,685,409,276,208.682,4.676,"68,577","30,777","1,723","8,187","3,137","18,938","119,632","469,378","8,931","425,457","33,594","1,396","112,036","4,008","85,172","11,813",1.378,"598,136","13,146","474,325","108,097","2,569",81.905
