provinsi,tahun,air_bersih,kapasitas_potensial,kapasitas_efektif,efektivitas_produksi,jml_pekerja,pekerja_teknis_slta,pekerja_teknis_diploma,pekerja_non_teknis,non_teknis_slta,non_teknis_diploma,balas_jasa,biaya_bahan_bakar,biaya_listrik,biaya_kimia,biaya_atk,biaya_suku_cadang,biaya_sewa,biaya_jasa_lain,Biaya_Operasional_Perusahaan_Air_Bersih ,Jumlah_Pelanggan_Perusahaan_Air_Bersih ,pelanggan_sosial,Jumlah_Pelanggan_Kelompok_Non_Niaga_Perusahaan_Air_Bersih ,pelanggan_niaga,pelanggan_khusus,volume_total,volume_sosial,volume_non_niaga,volume_niaga,volume_khusus,"Nilai_Air_Bersih_Yang_Disalurkan_Perusahaan_Air_Bersih                                               
",Nilai_Air_Bersih_Yang_Disalurkan_Kepada_Kelompok_Sosial ,Nilai_Air_Bersih_Yang_Disalurkan_Kepada_Kelompok_Non_Niaga ,Nilai_Air_Bersih_Yang_Disalurkan_Kepada_Kelompok_Niaga_dan_Industri ,Nilai_Air_Bersih_yang_Disalurkan_ke_Pelanggan_Khusus_dan_Pelangan_Lainnya ,Nilai_Pendapatan_dari_Kegiatan_Lain_Perusahaan_Air_Bersih 
,2019-01-01 00:00:00+00:00,20.0,9.854,8.782,89.12,2.382,1.07,122.0,1.19,930.0,260.0,229.715,3.527,114.849,26.631,3.161,5.165,1.457,10.448,169.268,470.621,8.816,415.497,45.942,366.0,152.415,3.354,93.809,19.329,1.756,697.634,9.678,449.123,211.8,27.033,95.213
,2019-01-01 00:00:00+00:00,8.0,3.918,3.05,77.85,1.218,530.0,106.0,582.0,404.0,178.0,79.966,1.615,7.23,4.959,810.0,1.319,2.983,11.033,17.965,547.391,12.232,522.764,11.645,750.0,82.44,2.108,53.671,2.511,525.0,195.335,4.81,167.784,19.352,3.389,29.454
,2019-01-01 00:00:00+00:00,16.0,3.862,1.78,46.09,1.136,617.0,97.0,422.0,300.0,122.0,83.272,2.862,13.87,450.0,946.0,1.93,257.0,3.02,20.672,154.992,1.692,147.537,5.561,202.0,34.586,771.0,26.439,1.889,281.0,134.23,2.508,114.665,12.695,4.362,23.729
,2019-01-01 00:00:00+00:00,28.0,4.642,3.471,74.77,1.027,386.0,159.0,482.0,328.0,154.0,94.204,3.617,40.017,16.813,1.093,3.232,1.268,10.816,29.964,241.233,2.789,213.579,24.244,621.0,66.686,2.066,52.724,8.854,508.0,274.265,4.203,207.826,60.707,1.529,35.807
,2019-01-01 00:00:00+00:00,14.0,2.56,1.948,76.09,1.079,480.0,93.0,506.0,328.0,178.0,80.029,5.027,21.199,14.608,860.0,2.359,104.0,3.547,35.618,150.819,1.764,139.306,9.245,504.0,39.983,918.0,30.255,2.635,215.0,165.648,3.237,142.544,18.848,1.02,14.987
,2019-01-01 00:00:00+00:00,12.0,7.497,5.343,71.27,1.594,598.0,311.0,685.0,409.0,276.0,208.682,4.676,68.577,30.777,1.723,8.187,3.137,18.938,119.632,469.378,8.931,425.457,33.594,1.396,112.036,4.008,85.172,11.813,1.378,598.136,13.146,474.325,108.097,2.569,81.905
,2019-01-01 00:00:00+00:00,9.0,8.018,7.201,89.81,2.377,770.0,400.0,1.207,833.0,374.0,258.491,10.907,133.179,78.446,4.465,6.998,6.834,34.789,132.435,464.138,5.685,427.981,29.85,622.0,186.859,3.856,119.061,14.41,576.0,861.454,12.059,706.988,134.137,8.271,73.804
,2019-01-01 00:00:00+00:00,5.0,1.78,1.125,63.2,345.0,170.0,27.0,148.0,84.0,64.0,39.544,3.188,13.083,10.741,417.0,232.0,162.0,7.966,10.581,66.961,589.0,56.809,9.539,24.0,21.798,407.0,16.084,3.474,79.0,103.112,1.364,70.467,29.707,1.574,4.752
,2019-01-01 00:00:00+00:00,14.0,3.501,1.993,56.93,949.0,438.0,59.0,452.0,305.0,147.0,51.926,2.418,13.714,4.851,997.0,1.284,259.0,5.558,35.941,117.136,2.014,109.988,5.049,85.0,31.208,770.0,18.519,1.912,403.0,115.913,3.722,87.577,17.252,7.362,2.631
,2019-01-01 00:00:00+00:00,11.0,2.886,1.735,60.12,739.0,383.0,41.0,315.0,205.0,110.0,28.101,879.0,4.071,363.0,497.0,713.0,311.0,1.728,5.601,99.115,1.136,92.977,4.989,13.0,19.389,334.0,17.295,1.742,17.0,45.569,506.0,39.386,5.502,176.0,3.45
,2019-01-01 00:00:00+00:00,24.0,9.228,7.383,80.01,3.133,1.407,613.0,1.113,552.0,561.0,233.306,4.78,39.828,14.211,3.464,5.378,1.845,13.66,136.908,509.644,6.288,473.142,29.732,482.0,147.945,4.607,107.84,10.302,2.257,563.417,7.192,432.266,103.097,20.861,61.654
,2019-01-01 00:00:00+00:00,10.0,1.86,1.192,64.09,1.082,458.0,150.0,474.0,271.0,203.0,42.318,2.272,11.276,1.821,778.0,1.014,73.0,4.424,16.462,94.203,941.0,89.338,2.605,1.319,14.642,231.0,10.17,739.0,487.0,75.674,943.0,62.451,10.235,2.045,6.163
,2019-01-01 00:00:00+00:00,6.0,1.398,1.046,74.82,662.0,232.0,60.0,370.0,264.0,106.0,35.986,820.0,8.24,3.601,350.0,988.0,452.0,914.0,6.729,88.339,2.761,82.352,2.585,641.0,18.984,1.367,13.586,1.345,118.0,69.518,2.274,57.644,9.08,519.0,3.963
,2019-01-01 00:00:00+00:00,5.0,849.0,450.0,53.0,299.0,115.0,44.0,140.0,104.0,36.0,13.562,373.0,3.748,2.436,197.0,146.0,72.0,4.002,1.641,63.466,1.056,60.662,1.743,5.0,9.874,422.0,8.736,530.0,11.0,35.957,619.0,31.316,3.849,173.0,3.897
,2019-01-01 00:00:00+00:00,8.0,1.17,972.0,83.08,540.0,275.0,24.0,241.0,169.0,72.0,21.358,1.475,4.831,11.0,407.0,219.0,311.0,1.779,12.388,57.777,651.0,54.559,2.385,182.0,10.207,183.0,8.667,547.0,85.0,52.964,849.0,46.118,4.657,1.34,5.102
,2019-01-01 00:00:00+00:00,8.0,1.4,1.228,87.71,520.0,263.0,35.0,222.0,145.0,77.0,28.649,1.388,20.41,435.0,746.0,1.215,0.0,471.0,34.099,85.433,1.324,79.778,3.761,570.0,24.977,784.0,16.238,1.324,55.0,86.104,2.405,76.602,6.721,377.0,7.705
,2019-01-01 00:00:00+00:00,7.0,1.751,1.38,78.81,362.0,160.0,27.0,175.0,122.0,53.0,37.782,939.0,4.751,238.0,1.165,1.504,815.0,1.101,9.476,70.483,1.138,64.955,4.373,17.0,19.872,971.0,15.087,1.513,188.0,89.249,3.333,71.703,11.512,2.7,7.358
,2020-01-01 00:00:00+00:00,19.0,4.426,3.477,78.56,1.331,599.0,140.0,592.0,391.0,201.0,86.312,1.024,30.371,10.176,975.0,1.929,463.0,5.05,22.283,211.554,2.435,188.721,20.125,273.0,55.892,1.013,41.814,3.31,564.0,158.695,2.929,136.58,16.478,2.709,23.251
,2020-01-01 00:00:00+00:00,41.0,11.782,9.998,84.86,3.971,1.173,415.0,2.383,1.528,855.0,286.991,2.692,123.759,43.942,17.94,7.729,1.779,23.849,139.651,894.058,10.167,798.487,84.221,1.183,325.447,13.03,257.689,36.582,1.444,960.93,13.755,757.412,184.783,4.98,100.845
,2020-01-01 00:00:00+00:00,18.0,6.631,5.101,76.93,1.599,677.0,164.0,758.0,443.0,315.0,108.237,5.382,13.576,7.835,1.769,3.821,4.576,10.199,87.362,579.634,4.285,555.412,18.738,1.199,109.266,2.27,74.647,5.541,1.184,344.803,4.014,294.4,42.176,4.212,38.368
,2020-01-01 00:00:00+00:00,26.0,2.499,1.502,60.1,986.0,476.0,52.0,458.0,254.0,204.0,32.265,10.333,8.561,16.439,429.0,726.0,145.0,3.814,10.711,89.403,991.0,77.706,10.57,136.0,18.467,321.0,15.219,2.484,77.0,86.512,1.035,66.873,18.328,277.0,19.911
,2020-01-01 00:00:00+00:00,11.0,4.719,3.307,70.08,1.253,509.0,144.0,600.0,400.0,200.0,65.733,1.476,47.608,14.218,1.239,1.139,156.0,3.154,8.922,959.991,7.001,936.221,16.718,51.0,49.133,1.146,37.84,3.712,181.0,185.147,3.624,153.038,26.979,1.507,37.388
,2020-01-01 00:00:00+00:00,18.0,10.0,8.987,89.87,2.467,988.0,511.0,968.0,664.0,304.0,204.073,2.549,50.419,36.097,6.45,4.256,497.0,9.595,43.092,862.169,14.23,791.896,53.553,2.49,197.242,5.286,137.994,18.559,706.0,661.481,14.175,503.288,137.958,6.059,44.451
,2020-01-01 00:00:00+00:00,9.0,1.966,1.551,78.89,516.0,238.0,44.0,234.0,127.0,107.0,32.036,806.0,8.402,2.844,465.0,365.0,192.0,9.787,4.266,90.049,1.238,84.487,4.301,23.0,24.721,471.0,16.286,1.052,51.0,79.828,949.0,70.128,7.415,1.337,8.01
,2020-01-01 00:00:00+00:00,44.0,1.79,1.356,75.75,606.0,220.0,31.0,355.0,235.0,120.0,34.744,847.0,3.509,2.403,264.0,986.0,81.0,6.395,3.983,86.22,1.294,79.813,4.787,326.0,17.52,503.0,14.634,1.576,77.0,80.395,1.32,64.921,12.988,1.167,4.379
,2020-01-01 00:00:00+00:00,7.0,1.053,776.0,73.69,313.0,100.0,42.0,171.0,103.0,68.0,21.383,504.0,9.141,1.877,620.0,368.0,347.0,1.917,8.021,31.058,378.0,29.706,963.0,11.0,8.725,106.0,5.927,326.0,9.0,40.149,488.0,35.942,3.548,172.0,5.195
,2020-01-01 00:00:00+00:00,14.0,5.095,4.505,88.42,893.0,365.0,107.0,421.0,239.0,182.0,119.198,1.93,76.22,25.512,1.375,4.016,9.854,21.134,43.312,332.724,2.787,283.265,46.655,17.0,94.092,2.935,66.496,21.306,10.0,540.571,6.167,301.063,233.173,168.0,77.292
,2020-01-01 00:00:00+00:00,8.0,22.26,20.992,94.3,2.226,899.0,495.0,832.0,295.0,537.0,520.453,2.963,175.298,45.035,4.049,5.514,22.932,207.849,622.501,896.782,6.633,760.616,129.516,17.0,494.518,7.131,240.813,102.77,2.049,2.838.307,10.698,1.612.027,1.188.489,27.093,61.504
,2020-01-01 00:00:00+00:00,22.0,23.742,17.118,72.1,7.562,2.711,793.0,4.058,2.462,1.596,822.756,6.702,139.514,102.653,20.455,17.131,5.427,57.043,304.23,1.878.000,29.223,1.761.978,85.1,1.699,419.502,8.989,298.047,27.739,15.134,1.976.089,24.198,1.580.358,294.383,77.151,210.252
,2020-01-01 00:00:00+00:00,42.0,32.171,26.143,81.26,6.347,2.409,780.0,3.158,1.905,1.253,538.049,7.939,138.324,58.073,16.789,14.692,10.074,137.518,381.385,1.804.587,26.564,1.697.613,72.531,7.879,485.528,10.941,388.451,26.618,3.297,1.781.953,27.65,1.508.796,227.892,17.615,235.809
.,2020-01-01 00:00:00+00:00,6.0,2.591,2.134,82.36,841.0,425.0,105.0,311.0,206.0,105.0,73.952,1.469,46.672,6.121,944.0,1.739,1.002,3.671,44.244,191.558,3.599,184.157,2.752,1.05,47.823,1.036,33.453,1.558,434.0,208.35,3.903,181.179,18.903,4.364,16.05
,2020-01-01 00:00:00+00:00,38.0,33.334,28.391,85.17,6.363,2.698,640.0,3.025,1.965,1.06,602.435,10.83,340.08,60.3,4.943,13.419,11.624,99.19,567.4,2.203.955,30.299,2.047.831,114.983,10.842,721.847,15.985,479.635,71.177,23.183,2.217.209,30.963,1.584.114,529.476,72.657,313.781
,2020-01-01 00:00:00+00:00,8.0,10.871,8.602,79.13,1.383,419.0,147.0,817.0,444.0,373.0,167.862,1.518,70.875,17.061,1.459,5.514,32.085,120.198,325.118,355.754,3.271,332.897,19.48,106.0,240.019,2.108,71.291,48.048,103.452,1.229.503,4.819,368.209,473.298,383.177,55.586
,2020-01-01 00:00:00+00:00,20.0,10.047,8.922,88.8,2.233,1.002,208.0,1.023,649.0,374.0,213.675,2.968,114.993,31.261,3.619,5.704,1.362,22.872,120.135,483.578,8.689,428.173,46.336,380.0,159.537,2.749,109.334,14.751,1.72,660.419,8.267,474.623,150.771,26.759,88.348
,2020-01-01 00:00:00+00:00,8.0,4.532,3.19,70.39,1.258,426.0,112.0,720.0,476.0,244.0,82.827,1.861,6.381,5.981,1.009,789.0,3.587,14.964,17.746,527.54,12.302,502.517,11.757,964.0,80.591,1.982,49.408,2.489,401.0,209.902,4.921,180.776,20.62,3.585,25.897
,2020-01-01 00:00:00+00:00,16.0,4.553,2.362,51.88,1.15,634.0,95.0,421.0,287.0,134.0,79.227,2.763,14.779,536.0,881.0,1.694,518.0,4.933,21.635,163.514,1.748,155.731,5.812,223.0,34.586,777.0,29.892,1.831,333.0,137.057,2.36,117.679,12.659,4.359,30.252
,2020-01-01 00:00:00+00:00,28.0,4.585,3.814,83.18,967.0,377.0,110.0,480.0,283.0,197.0,99.253,3.553,47.779,18.372,1.372,2.384,1.99,10.948,40.112,269.744,3.272,240.165,25.705,602.0,76.056,1.89,56.774,8.251,303.0,315.386,4.224,250.552,59.007,1.603,40.161
